|   State | ('Action', '$')   | ('Go to', 'A')   | ('Go to', 'ASSIGNOP')   | ('Go to', 'DIV')   | ('Go to', 'E')   | ('Go to', 'EQ')   | ('Go to', 'F')   | ('Go to', 'ID')   | ('Go to', 'J')   | ('Go to', 'LPAREN')   | ('Go to', 'LT')   | ('Go to', 'M')   | ('Go to', 'MINUS')   | ('Go to', 'NUMBER')   | ('Go to', 'P')   | ('Go to', 'PLUS')   | ('Go to', 'Q')   | ('Go to', 'R')   | ('Go to', 'RPAREN')   | ('Go to', 'SEMICOLON')   | ('Go to', 'T')   | ('Go to', 'TIMES')   | ('Go to', 'V')   | ('Go to', 'W')   | ('Go to', 'X')   | ('Go to', 'Y')   | ('Go to', 'Z')   |
|--------:|:------------------|:-----------------|:------------------------|:-------------------|:-----------------|:------------------|:-----------------|:------------------|:-----------------|:----------------------|:------------------|:-----------------|:---------------------|:----------------------|:-----------------|:--------------------|:-----------------|:-----------------|:----------------------|:-------------------------|:-----------------|:---------------------|:-----------------|:-----------------|:-----------------|:-----------------|:-----------------|
|       0 |                   | 2                |                         |                    |                  |                   |                  | 3                 |                  |                       |                   | 4                |                      |                       | 5                |                     |                  |                  |                       |                          | 1                |                      |                  |                  |                  |                  |                  |
|       1 | r1                |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|       2 | r6                |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|       3 |                   |                  | 6                       |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|       4 | r3                |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     | 7                |                  |                       | 8                        |                  |                      |                  |                  |                  |                  |                  |
|       5 | accept            |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|       6 |                   |                  |                         |                    | 12               |                   | 13               | 10                |                  | 9                     |                   |                  |                      | 15                    |                  |                     |                  | 11               |                       |                          |                  |                      |                  |                  | 14               |                  |                  |
|       7 | r2                |                  |                         |                    |                  |                   |                  |                   |                  |                       |                   |                  |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
|       8 |                   | 2                |                         |                    |                  |                   |                  | 3                 |                  |                       |                   | 16               |                      |                       |                  |                     |                  |                  |                       |                          |                  |                      |                  |                  |                  |                  |                  |
